Event,Country,SportType,NumberOfParticipations
Summer,Russia,Judo,71
Summer,Sweden,Judo,27
Summer,Germany,Rowing,885
Summer,United States,Rowing,823
Summer,Great Britain,Rowing,700
Summer,Canada,Rowing,540
Summer,Italy,Rowing,524
Summer,Australia,Rowing,506
Summer,Netherlands,Rowing,449
Summer,Poland,Rowing,301
Summer,Hungary,Rowing,182
Summer,Japan,Rowing,179
Summer,China,Rowing,148
Summer,Sweden,Rowing,131
Summer,Spain,Rowing,130
Summer,Russia,Rowing,86
Summer,Great Britain,Sailing,324
Summer,Sweden,Sailing,324
Summer,United States,Sailing,293
Summer,Germany,Sailing,284
Summer,Italy,Sailing,262
Summer,Canada,Sailing,212
Summer,Australia,Sailing,210
Summer,Netherlands,Sailing,203
Summer,Spain,Sailing,196
Summer,Japan,Sailing,116
Summer,Poland,Sailing,96
Summer,Russia,Sailing,81
Summer,Hungary,Sailing,77
Summer,China,Sailing,60
Summer,United States,Shooting,393
Summer,Germany,Shooting,311
Summer,Great Britain,Shooting,295
Summer,Sweden,Shooting,283
Summer,Italy,Shooting,249
Summer,China,Shooting,197
Summer,Australia,Shooting,187
Summer,Hungary,Shooting,175
Summer,Canada,Shooting,161
Summer,Russia,Shooting,152
Summer,Spain,Shooting,143
Summer,Japan,Shooting,132
Summer,Poland,Shooting,131
Summer,Netherlands,Shooting,91
Summer,United States,Swimming,818
Summer,Great Britain,Swimming,662
Summer,Germany,Swimming,638
Summer,Australia,Swimming,521
Summer,Canada,Swimming,411
Summer,Japan,Swimming,409
Summer,Italy,Swimming,343
Summer,Sweden,Swimming,332
Summer,Hungary,Swimming,325
Summer,Netherlands,Swimming,311
Summer,Spain,Swimming,220
Summer,China,Swimming,217
Summer,Russia,Swimming,162
Summer,Poland,Swimming,116
Summer,United States,Tennis,122
Summer,Great Britain,Tennis,96
Summer,Spain,Tennis,77
Summer,Australia,Tennis,64
Summer,Italy,Tennis,64
Summer,Sweden,Tennis,62
Summer,Germany,Tennis,52
Summer,Russia,Tennis,47
Summer,Japan,Tennis,43
Summer,Canada,Tennis,39
Summer,Hungary,Tennis,36
Summer,China,Tennis,35
Summer,Netherlands,Tennis,30
Summer,Poland,Tennis,28
Summer,United States,Volleyball,271
Summer,Japan,Volleyball,232
Summer,Italy,Volleyball,198
Summer,Germany,Volleyball,160
Summer,Russia,Volleyball,148
Summer,Poland,Volleyball,146
Summer,China,Volleyball,128
Summer,Netherlands,Volleyball,113
Summer,Canada,Volleyball,92
Summer,Australia,Volleyball,52
Summer,Hungary,Volleyball,47
Summer,Spain,Volleyball,40
Summer,Great Britain,Volleyball,24
Summer,Sweden,Volleyball,12
Summer,Hungary,Water Polo,270
Summer,United States,Water Polo,267
Summer,Italy,Water Polo,250
Summer,Australia,Water Polo,223
Summer,Netherlands,Water Polo,189
Summer,Germany,Water Polo,188
Summer,Spain,Water Polo,182
Summer,Great Britain,Water Polo,96
Summer,Russia,Water Polo,90
Summer,Canada,Water Polo,74
Summer,Japan,Water Polo,64
Summer,China,Water Polo,63
Summer,Sweden,Water Polo,56
Summer,United States,Weightlifting,151
Summer,Germany,Weightlifting,150
Summer,Great Britain,Weightlifting,126
Summer,Poland,Weightlifting,118
Summer,Japan,Weightlifting,111
Summer,Hungary,Weightlifting,98
Summer,China,Weightlifting,93
Summer,Italy,Weightlifting,93
Summer,Australia,Weightlifting,78
Summer,Sweden,Weightlifting,63
Summer,Canada,Weightlifting,59
Summer,Russia,Weightlifting,46
Summer,Spain,Weightlifting,34
Summer,Netherlands,Weightlifting,23
Summer,United States,Wrestling,371
Summer,Germany,Wrestling,279
Summer,Sweden,Wrestling,264
Summer,Hungary,Wrestling,260
Summer,Japan,Wrestling,236
Summer,Great Britain,Wrestling,178
Summer,Poland,Wrestling,176
Summer,Canada,Wrestling,163
Summer,Italy,Wrestling,163
Summer,Russia,Wrestling,121
Summer,Australia,Wrestling,96
Summer,China,Wrestling,81
Summer,Netherlands,Wrestling,44
Summer,Spain,Wrestling,40
Winter,United States,Alpine Skiing,293
Winter,Italy,Alpine Skiing,271
Winter,Germany,Alpine Skiing,196
Winter,Canada,Alpine Skiing,195
Winter,Great Britain,Alpine Skiing,160
Winter,Sweden,Alpine Skiing,141
Winter,Spain,Alpine Skiing,94
Winter,Japan,Alpine Skiing,87
Winter,Australia,Alpine Skiing,60
Winter,Poland,Alpine Skiing,52
Winter,Russia,Alpine Skiing,38
Winter,Hungary,Alpine Skiing,37
Winter,China,Alpine Skiing,15
Winter,Netherlands,Alpine Skiing,4
Winter,Germany,Biathlon,133
Winter,United States,Biathlon,103
Winter,Italy,Biathlon,86
Winter,Sweden,Biathlon,86
Winter,Poland,Biathlon,77
Winter,Russia,Biathlon,67
Winter,Japan,Biathlon,64
Winter,Canada,Biathlon,55
Winter,China,Biathlon,46
Winter,Great Britain,Biathlon,45
Winter,Hungary,Biathlon,30
Winter,Australia,Biathlon,11
Winter,Spain,Biathlon,6
Winter,Germany,Bobsleigh,235
Winter,United States,Bobsleigh,218
Winter,Italy,Bobsleigh,173
Winter,Great Britain,Bobsleigh,161
Winter,Canada,Bobsleigh,122
Winter,Russia,Bobsleigh,66
Winter,Japan,Bobsleigh,59
Winter,Sweden,Bobsleigh,54
